품목코드,품목명,규격,단위,비고
BOX-A-250,택배박스 A형,250x200x150,박스,1박스=50매
BOX-A-300,택배박스 A형,300x250x150,박스,1박스=50매
BOX-A-350,택배박스 A형,350x250x200,박스,1박스=40매
BOX-B-200,택배박스 B형,200x150x100,박스,1박스=60매
BOX-B-400,택배박스 B형,400x300x250,박스,1박스=30매
BOX-P-1,우체국박스 1호,220x190x90,박스,1박스=50매
BOX-P-2,우체국박스 2호,270x180x150,박스,1박스=50매
BOX-P-4,우체국박스 4호,410x310x280,박스,1박스=25매
BOX-M-S,이사박스 소,400x300x300,박스,1박스=20매
BOX-M-L,이사박스 대,600x400x400,박스,1박스=10매
PET-300-CL,페트병 투명,300ml,박스,1박스=100개
PET-500-CL,페트병 투명,500ml,박스,1박스=80개
PET-1000-CL,페트병 투명,1000ml,박스,1박스=50개
PET-300-BR,페트병 갈색,300ml,박스,1박스=100개
PET-500-BR,페트병 갈색,500ml,박스,1박스=80개
CAP-300-W,페트뚜껑 백색,300구경,봉,1봉=200개
CAP-300-BK,페트뚜껑 흑색,300구경,봉,1봉=200개
CAP-500-W,페트뚜껑 백색,500구경,봉,1봉=150개
CAP-500-BK,페트뚜껑 흑색,500구경,봉,1봉=150개
OPP-1520,OPP봉투,150x200,봉,1봉=1000매
OPP-2030,OPP봉투,200x300,봉,1봉=1000매
OPP-2535,OPP봉투,250x350,봉,1봉=500매
OPP-3040,OPP봉투,300x400,봉,1봉=500매
ZIP-1015,지퍼백,100x150,봉,1봉=1000매
ZIP-1520,지퍼백,150x200,봉,1봉=500매
ZIP-2030,지퍼백,200x300,봉,1봉=500매
ZIP-2535,지퍼백,250x350,봉,1봉=300매
AIR-30,에어캡 30cm,30cmx50m,롤,낱개
AIR-50,에어캡 50cm,50cmx50m,롤,낱개
AIR-100,에어캡 100cm,100cmx50m,롤,낱개
AIRB-1520,에어캡봉투,150x200,봉,1봉=200매
AIRB-2530,에어캡봉투,250x300,봉,1봉=100매
TAPE-48-CL,박스테이프 투명,48mm x 100m,박스,1박스=50개
TAPE-48-BR,박스테이프 갈색,48mm x 100m,박스,1박스=50개
TAPE-60-CL,박스테이프 투명,60mm x 100m,박스,1박스=40개
TAPE-PRT,인쇄테이프,48mm x 100m,박스,주문제작
STK-30-R,원형스티커 백색,지름30mm,롤,1롤=1000매
STK-50-R,원형스티커 백색,지름50mm,롤,1롤=500매
STK-40-S,사각스티커 백색,40x30mm,롤,1롤=1000매
STK-PRT,인쇄스티커,주문규격,롤,주문제작
BAG-S-KR,종이쇼핑백 소,180x220x80,박스,1박스=200매
BAG-M-KR,종이쇼핑백 중,250x330x100,박스,1박스=150매
BAG-L-KR,종이쇼핑백 대,320x420x120,박스,1박스=100매
CUS-PAPER,완충재 종이,폭300mm,롤,낱개
CUS-FOAM,완충재 폼,폭300mm,롤,낱개
LABEL-TB,택배송장라벨,100x150,박스,1박스=1000매
BAND-15,밴딩끈,15mm x 1000m,롤,낱개
SIL-1KG,실리카겔,1g x 1000개,봉,1봉
PALLET-11,파렛트 플라스틱,1100x1100,개,낱개
WRAP-500,스트레치필름,500mm x 300m,롤,낱개
